"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,10000,9509,4148,22460,3079,0.22,0.00,10000,11000,12000,12000,14000,15000,18000,18000,22000,22000,22000,22000
"POST","/",128,58,9900,10120,1991,18467,74886,0.22,0.10,9900,11000,13000,13000,15000,16000,18000,18000,18000,18000,18000,18000
"GET","/analysis.html",22,0,1900,2643,312,7347,52059,0.04,0.00,2600,3000,3700,4500,5100,5400,7300,7300,7300,7300,7300,7300
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,1851,1851,1851,1851,53512,0.00,0.00,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
"GET","/compare.html",21,0,2000,2582,431,5589,108023,0.04,0.00,2000,3000,4200,4500,4800,4800,5600,5600,5600,5600,5600,5600
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,471000,497750,470751,524748,2422313,0.00,0.00,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000
"GET","/measure.html",30,0,2300,2928,496,6307,46273,0.05,0.00,2600,3800,4100,4300,6200,6200,6300,6300,6300,6300,6300,6300
"POST","/measureResults.html",11,1,348000,331588,3355,566523,131990,0.02,0.00,348000,435000,437000,437000,438000,567000,567000,567000,567000,567000,567000,567000
"GET","/movers.html",37,0,2700,3104,403,6978,3745,0.06,0.00,2700,3500,4600,4700,5900,6100,7000,7000,7000,7000,7000,7000
"POST","/moversResult.html",7,1,538000,462628,766,570675,28778,0.01,0.00,538000,565000,568000,568000,571000,571000,571000,571000,571000,571000,571000,571000
"GET","/prediction.html",20,0,3000,3415,560,6313,40373,0.03,0.00,3100,5000,5300,5300,5900,6300,6300,6300,6300,6300,6300,6300
"POST","/predictionResult.html",1,1,1533,1533,1533,1533,117342,0.00,0.00,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
"None","Aggregated",408,61,6500,26423,312,570675,54893,0.69,0.10,6600,10000,11000,12000,15000,18000,471000,538000,571000,571000,571000,571000
